ticket_id,flight_id,booking_time,flight_date,customer_id,fare_class,base_fare,taxes,total_fare,booking_channel,days_to_departure_at_booking
47,0,2024-08-22 02:04:51,2025-01-01 00:00:00,2090567841,F,177.56,15.44,193.0,web,131
48,0,2024-08-22 02:04:51,2025-01-01 00:00:00,652910939,B,150.93,13.12,164.05,mobile_app,131
49,0,2024-07-05 21:12:53,2025-01-01 00:00:00,1932823772,E,88.78,7.72,96.5,mobile_app,179
50,0,2024-06-21 04:04:12,2025-01-01 00:00:00,736923757,E,88.78,7.72,96.5,agent,193
51,0,2024-09-25 12:29:29,2025-01-01 00:00:00,1976857466,P,115.41,10.04,125.45,web,97
52,0,2024-09-25 12:29:29,2025-01-01 00:00:00,1417137452,E,88.78,7.72,96.5,agent,97
53,0,2024-07-30 08:07:32,2025-01-01 00:00:00,1848524055,E,88.78,7.72,96.5,mobile_app,154
54,0,2024-06-28 15:07:59,2025-01-01 00:00:00,1616602020,P,115.41,10.04,125.45,agent,186
55,0,2024-09-25 11:08:54,2025-01-01 00:00:00,427186713,E,88.78,7.72,96.5,agent,97
56,0,2024-06-14 14:00:48,2025-01-01 00:00:00,692596785,E,88.78,7.72,96.5,agent,200
57,0,2024-06-30 20:02:01,2025-01-01 00:00:00,522066521,B,150.93,13.12,164.05,mobile_app,184
58,0,2024-06-30 20:02:01,2025-01-01 00:00:00,867572154,P,115.41,10.04,125.45,mobile_app,184
59,0,2024-09-25 12:59:44,2025-01-01 00:00:00,1026692216,E,88.78,7.72,96.5,web,97
60,0,2024-05-30 13:35:42,2025-01-01 00:00:00,1610706625,F,177.56,15.44,193.0,mobile_app,215
61,0,2024-11-01 01:37:01,2025-01-01 00:00:00,713513198,E,88.78,7.72,96.5,agent,60
62,0,2024-11-11 23:13:40,2025-01-01 00:00:00,339617964,B,150.93,13.12,164.05,web,50
63,0,2024-11-11 23:13:40,2025-01-01 00:00:00,522393587,B,150.93,13.12,164.05,mobile_app,50
64,0,2024-06-29 09:31:56,2025-01-01 00:00:00,2028199704,E,88.78,7.72,96.5,web,185
65,0,2024-07-13 03:04:11,2025-01-01 00:00:00,5698269615,E,88.78,7.72,96.5,web,171
66,0,2024-07-11 10:11:54,2025-01-01 00:00:00,2287456487,P,115.41,10.04,125.45,agent,173
67,0,2024-05-29 11:09:21,2025-01-01 00:00:00,8411013779,F,177.56,15.44,193.0,mobile_app,216
68,0,2024-08-19 19:58:34,2025-01-01 00:00:00,659627430,E,88.78,7.72,96.5,mobile_app,134
69,0,2024-12-06 01:49:05,2025-01-01 00:00:00,6546346843,P,115.41,10.04,125.45,agent,25
70,0,2024-07-18 04:57:29,2025-01-01 00:00:00,2007076409,E,88.78,7.72,96.5,mobile_app,166
71,0,2024-12-29 09:58:41,2025-01-01 00:00:00,137137894,E,88.78,7.72,96.5,web,2
72,0,2024-06-20 06:27:41,2025-01-01 00:00:00,1025872657,E,88.78,7.72,96.5,web,194
73,0,2024-06-17 12:38:29,2025-01-01 00:00:00,1576545588,E,88.78,7.72,96.5,web,197
74,0,2024-08-14 10:32:33,2025-01-01 00:00:00,1994285561,E,88.78,7.72,96.5,mobile_app,139
75,0,2024-11-05 05:30:59,2025-01-01 00:00:00,9964661825,E,88.78,7.72,96.5,mobile_app,56
76,0,2024-11-05 05:30:59,2025-01-01 00:00:00,228853867,F,177.56,15.44,193.0,agent,56
77,0,2024-07-13 22:01:51,2025-01-01 00:00:00,1513086150,E,88.78,7.72,96.5,web,171
78,0,2024-09-05 02:11:06,2025-01-01 00:00:00,3416948582,P,115.41,10.04,125.45,mobile_app,117
79,0,2024-09-05 02:11:06,2025-01-01 00:00:00,257249057,E,88.78,7.72,96.5,agent,117
80,0,2024-10-19 19:13:00,2025-01-01 00:00:00,1827967585,E,88.78,7.72,96.5,web,73
81,0,2024-07-01 07:38:55,2025-01-01 00:00:00,294472523,E,88.78,7.72,96.5,agent,183
82,0,2024-07-01 07:38:55,2025-01-01 00:00:00,2061499029,P,115.41,10.04,125.45,mobile_app,183
83,0,2024-12-11 05:46:34,2025-01-01 00:00:00,4828854064,E,88.78,7.72,96.5,mobile_app,20
84,0,2024-09-24 13:40:04,2025-01-01 00:00:00,2015076871,E,88.78,7.72,96.5,web,98
85,0,2024-06-05 03:09:15,2025-01-01 00:00:00,1000227412,E,88.78,7.72,96.5,agent,209
86,0,2024-07-07 03:02:44,2025-01-01 00:00:00,1929462802,E,88.78,7.72,96.5,web,177
87,0,2024-10-05 04:10:12,2025-01-01 00:00:00,544133584,P,115.41,10.04,125.45,agent,87
88,0,2024-11-07 03:21:36,2025-01-01 00:00:00,1503191824,P,115.41,10.04,125.45,web,54
89,0,2024-11-07 03:21:36,2025-01-01 00:00:00,108013102,F,177.56,15.44,193.0,mobile_app,54
90,0,2024-10-15 19:31:41,2025-01-01 00:00:00,572986655,P,115.41,10.04,125.45,web,77
91,0,2024-10-15 19:31:41,2025-01-01 00:00:00,1574558639,E,88.78,7.72,96.5,web,77
92,0,2024-07-20 02:50:22,2025-01-01 00:00:00,1795790344,F,177.56,15.44,193.0,mobile_app,164
93,0,2024-10-26 13:21:15,2025-01-01 00:00:00,7035756745,F,177.56,15.44,193.0,mobile_app,66
94,0,2024-08-14 23:18:39,2025-01-01 00:00:00,1523800689,E,88.78,7.72,96.5,web,139
95,0,2024-08-14 23:18:39,2025-01-01 00:00:00,172184582,E,88.78,7.72,96.5,web,139
96,0,2024-07-15 12:18:46,2025-01-01 00:00:00,1599450740,E,88.78,7.72,96.5,mobile_app,169
97,0,2024-09-20 14:42:26,2025-01-01 00:00:00,1596908547,E,88.78,7.72,96.5,web,102
98,0,2024-09-08 18:25:03,2025-01-01 00:00:00,9337307100,P,115.41,10.04,125.45,mobile_app,114
99,1,2024-06-24 09:26:03,2025-01-01 00:00:00,1833304538,E,169.45,14.73,184.18,mobile_app,190
100,1,2024-07-22 11:34:40,2025-01-01 00:00:00,1886360448,E,169.45,14.73,184.18,web,162
101,1,2024-05-26 04:31:35,2025-01-01 00:00:00,4956021768,P,220.28,19.15,239.43,agent,219
102,1,2024-09-15 11:11:52,2025-01-01 00:00:00,1381506753,F,338.88,29.47,368.35,web,107
103,1,2024-11-18 04:12:38,2025-01-01 00:00:00,750792269,B,288.05,25.05,313.1,web,43
104,1,2024-06-15 04:21:52,2025-01-01 00:00:00,2931959056,E,169.45,14.73,184.18,mobile_app,199
105,1,2024-12-15 16:56:35,2025-01-01 00:00:00,524584638,P,220.28,19.15,239.43,mobile_app,16
106,1,2024-09-04 15:29:12,2025-01-01 00:00:00,1727043188,P,220.28,19.15,239.43,web,118
107,1,2024-07-08 00:36:30,2025-01-01 00:00:00,2898276559,E,169.45,14.73,184.18,web,176
108,1,2024-12-24 01:39:44,2025-01-01 00:00:00,277993170,E,169.45,14.73,184.18,mobile_app,7
109,1,2024-10-13 14:32:15,2025-01-01 00:00:00,1946482379,E,169.45,14.73,184.18,web,79
110,1,2024-07-28 20:46:56,2025-01-01 00:00:00,1904469000,P,220.28,19.15,239.43,mobile_app,156
111,1,2024-06-12 02:09:19,2025-01-01 00:00:00,1031595076,P,220.28,19.15,239.43,web,202
112,1,2024-12-03 06:44:39,2025-01-01 00:00:00,2164892932,E,169.45,14.73,184.18,agent,28
113,1,2024-08-05 17:30:29,2025-01-01 00:00:00,462165831,F,338.88,29.47,368.35,mobile_app,148
114,1,2024-11-14 16:34:07,2025-01-01 00:00:00,937940575,P,220.28,19.15,239.43,web,47
115,1,2024-10-12 16:25:55,2025-01-01 00:00:00,2890501952,E,169.45,14.73,184.18,web,80
116,1,2024-10-12 16:25:55,2025-01-01 00:00:00,7175886493,F,338.88,29.47,368.35,web,80
117,1,2024-10-12 16:25:55,2025-01-01 00:00:00,1820226988,P,220.28,19.15,239.43,web,80
118,1,2024-11-02 18:20:49,2025-01-01 00:00:00,1969420611,P,220.28,19.15,239.43,web,59
119,1,2024-05-15 15:14:50,2025-01-01 00:00:00,1888506954,E,169.45,14.73,184.18,web,230
120,1,2024-05-15 08:03:28,2025-01-01 00:00:00,817230685,E,169.45,14.73,184.18,web,230
121,1,2024-05-31 13:51:22,2025-01-01 00:00:00,4755182822,E,169.45,14.73,184.18,agent,214
122,1,2024-07-06 07:37:41,2025-01-01 00:00:00,1185524278,E,169.45,14.73,184.18,agent,178
123,1,2024-05-30 19:55:36,2025-01-01 00:00:00,97333106,P,220.28,19.15,239.43,web,215
124,1,2024-12-17 20:35:59,2025-01-01 00:00:00,948672743,B,288.05,25.05,313.1,mobile_app,14
125,1,2024-12-17 20:35:59,2025-01-01 00:00:00,659627430,E,169.45,14.73,184.18,web,14
126,1,2024-12-01 15:57:13,2025-01-01 00:00:00,1702545040,E,169.45,14.73,184.18,agent,30
127,1,2024-08-22 15:10:40,2025-01-01 00:00:00,1942940155,P,220.28,19.15,239.43,web,131
128,1,2024-08-22 15:10:40,2025-01-01 00:00:00,2015076871,E,169.45,14.73,184.18,web,131
129,1,2024-05-16 21:07:02,2025-01-01 00:00:00,1528038468,P,220.28,19.15,239.43,agent,229
130,1,2024-06-12 15:09:15,2025-01-01 00:00:00,490582120,E,169.45,14.73,184.18,web,202
131,1,2024-06-12 15:09:15,2025-01-01 00:00:00,1552765834,E,169.45,14.73,184.18,web,202
132,1,2024-12-26 20:20:13,2025-01-01 00:00:00,394063657,E,169.45,14.73,184.18,web,5
133,1,2024-12-26 20:20:13,2025-01-01 00:00:00,5065044548,P,220.28,19.15,239.43,web,5
134,1,2024-09-30 02:24:15,2025-01-01 00:00:00,1351058470,E,169.45,14.73,184.18,agent,92
135,1,2024-08-11 07:24:01,2025-01-01 00:00:00,9446180954,E,169.45,14.73,184.18,agent,142
136,1,2024-09-20 00:52:29,2025-01-01 00:00:00,9052031132,E,169.45,14.73,184.18,agent,102
137,1,2024-09-20 00:52:29,2025-01-01 00:00:00,1316717915,E,169.45,14.73,184.18,web,102
138,1,2024-09-20 07:20:48,2025-01-01 00:00:00,780291494,E,169.45,14.73,184.18,web,102
139,1,2024-09-20 07:20:48,2025-01-01 00:00:00,1019180141,E,169.45,14.73,184.18,web,102
140,1,2024-11-13 08:11:18,2025-01-01 00:00:00,1635005597,F,338.88,29.47,368.35,mobile_app,48
141,1,2024-09-28 07:30:45,2025-01-01 00:00:00,317704710,E,169.45,14.73,184.18,web,94
142,1,2024-09-28 07:30:45,2025-01-01 00:00:00,6939043611,P,220.28,19.15,239.43,mobile_app,94
143,1,2024-08-11 14:51:38,2025-01-01 00:00:00,1159403169,E,169.45,14.73,184.18,mobile_app,142
144,1,2024-06-26 17:56:12,2025-01-01 00:00:00,1542584644,E,169.45,14.73,184.18,web,188
145,1,2024-06-26 16:42:56,2025-01-01 00:00:00,9487099120,P,220.28,19.15,239.43,web,188
146,1,2024-08-25 16:31:21,2025-01-01 00:00:00,1046099035,E,169.45,14.73,184.18,mobile_app,128
147,1,2024-08-25 16:31:21,2025-01-01 00:00:00,256375197,E,169.45,14.73,184.18,agent,128
148,1,2024-11-23 11:01:09,2025-01-01 00:00:00,365723659,F,338.88,29.47,368.35,mobile_app,38
149,1,2024-08-24 18:57:43,2025-01-01 00:00:00,1547065854,E,169.45,14.73,184.18,agent,129
150,1,2024-10-19 00:31:29,2025-01-01 00:00:00,1702545040,E,169.45,14.73,184.18,agent,73
151,1,2024-09-23 15:25:10,2025-01-01 00:00:00,1214003925,E,169.45,14.73,184.18,mobile_app,99
152,1,2024-05-26 07:40:05,2025-01-01 00:00:00,100924754,E,169.45,14.73,184.18,web,219
153,1,2024-05-26 07:40:05,2025-01-01 00:00:00,1195789292,E,169.45,14.73,184.18,mobile_app,219
154,1,2024-06-11 23:15:47,2025-01-01 00:00:00,9503661125,E,169.45,14.73,184.18,agent,203
155,1,2024-08-05 19:19:53,2025-01-01 00:00:00,5307113326,P,220.28,19.15,239.43,web,148
156,1,2024-09-05 20:26:19,2025-01-01 00:00:00,7803408790,B,288.05,25.05,313.1,web,117
157,1,2024-09-12 17:37:29,2025-01-01 00:00:00,816591241,B,288.05,25.05,313.1,agent,110
158,1,2024-09-12 17:37:29,2025-01-01 00:00:00,187109232,E,169.45,14.73,184.18,agent,110
159,1,2024-09-01 08:08:40,2025-01-01 00:00:00,1168282761,E,169.45,14.73,184.18,web,121
160,1,2024-11-20 18:52:21,2025-01-01 00:00:00,4596855323,B,288.05,25.05,313.1,web,41
161,1,2024-11-19 06:27:19,2025-01-01 00:00:00,1405064657,E,169.45,14.73,184.18,web,42
162,1,2024-10-04 06:08:31,2025-01-01 00:00:00,223623758,P,220.28,19.15,239.43,mobile_app,88
163,1,2024-06-01 02:30:58,2025-01-01 00:00:00,201566354,E,169.45,14.73,184.18,web,213
164,1,2024-09-29 18:17:24,2025-01-01 00:00:00,9361183111,E,169.45,14.73,184.18,web,93
165,1,2024-09-29 18:17:24,2025-01-01 00:00:00,307167888,P,220.28,19.15,239.43,web,93
166,1,2024-08-27 09:44:07,2025-01-01 00:00:00,102422915,E,169.45,14.73,184.18,mobile_app,126
167,1,2024-08-03 06:50:45,2025-01-01 00:00:00,1403403503,E,169.45,14.73,184.18,web,150
168,1,2024-08-03 06:50:45,2025-01-01 00:00:00,1870764531,E,169.45,14.73,184.18,agent,150
169,1,2024-09-21 12:54:57,2025-01-01 00:00:00,844102546,E,169.45,14.73,184.18,agent,101
170,1,2024-09-21 12:54:57,2025-01-01 00:00:00,526642598,F,338.88,29.47,368.35,mobile_app,101
171,1,2024-09-21 12:54:57,2025-01-01 00:00:00,2871119558,F,338.88,29.47,368.35,mobile_app,101
172,1,2024-10-23 14:34:42,2025-01-01 00:00:00,107006729,B,288.05,25.05,313.1,web,69
173,1,2024-11-29 09:02:03,2025-01-01 00:00:00,1685665640,E,169.45,14.73,184.18,mobile_app,32
174,1,2024-08-10 17:31:49,2025-01-01 00:00:00,1395508462,F,338.88,29.47,368.35,agent,143
175,1,2024-11-17 14:51:38,2025-01-01 00:00:00,1650465185,P,220.28,19.15,239.43,agent,44
176,1,2024-08-01 20:02:28,2025-01-01 00:00:00,8449702466,P,220.28,19.15,239.43,web,152
177,1,2024-12-10 23:54:00,2025-01-01 00:00:00,1874488183,E,169.45,14.73,184.18,web,21
178,1,2024-07-28 00:08:35,2025-01-01 00:00:00,7452997820,E,169.45,14.73,184.18,agent,156
179,1,2024-07-28 00:08:35,2025-01-01 00:00:00,1820226988,E,169.45,14.73,184.18,agent,156
180,1,2024-11-18 17:41:36,2025-01-01 00:00:00,8670521666,E,169.45,14.73,184.18,web,43
181,1,2024-11-18 17:41:36,2025-01-01 00:00:00,2053146688,E,169.45,14.73,184.18,web,43
182,1,2024-06-07 16:57:48,2025-01-01 00:00:00,1815104725,P,220.28,19.15,239.43,mobile_app,207
183,1,2024-11-23 14:26:19,2025-01-01 00:00:00,776117480,E,169.45,14.73,184.18,mobile_app,38
184,1,2024-07-13 01:19:10,2025-01-01 00:00:00,1862259012,E,169.45,14.73,184.18,mobile_app,171
185,1,2024-09-30 07:13:58,2025-01-01 00:00:00,851867413,P,220.28,19.15,239.43,mobile_app,92
186,1,2024-10-20 03:37:54,2025-01-01 00:00:00,6661740372,P,220.28,19.15,239.43,web,72
187,1,2024-10-20 03:37:54,2025-01-01 00:00:00,1605648566,E,169.45,14.73,184.18,web,72
188,1,2024-08-03 05:33:39,2025-01-01 00:00:00,1019081340,E,169.45,14.73,184.18,web,150
189,1,2024-12-15 02:12:45,2025-01-01 00:00:00,313223098,F,338.88,29.47,368.35,web,16
190,1,2024-12-15 02:12:45,2025-01-01 00:00:00,1327067740,E,169.45,14.73,184.18,mobile_app,16
191,1,2024-07-20 23:21:27,2025-01-01 00:00:00,66123098,E,169.45,14.73,184.18,agent,164
192,1,2024-10-05 04:10:47,2025-01-01 00:00:00,2820075129,B,288.05,25.05,313.1,web,87
193,1,2024-06-28 18:34:33,2025-01-01 00:00:00,5853225599,B,288.05,25.05,313.1,mobile_app,186
194,1,2024-09-08 15:18:09,2025-01-01 00:00:00,1229817332,P,220.28,19.15,239.43,agent,114
195,1,2024-05-24 13:28:13,2025-01-01 00:00:00,9200282823,P,220.28,19.15,239.43,agent,221
196,1,2024-12-18 12:21:22,2025-01-01 00:00:00,1599442259,B,288.05,25.05,313.1,web,13
197,1,2024-10-22 13:29:15,2025-01-01 00:00:00,2143329178,E,169.45,14.73,184.18,agent,70
198,1,2024-07-26 08:04:22,2025-01-01 00:00:00,1224117699,E,169.45,14.73,184.18,web,158
199,1,2024-12-29 12:05:35,2025-01-01 00:00:00,2543114142,F,338.88,29.47,368.35,web,2
200,1,2024-08-12 02:26:43,2025-01-01 00:00:00,1797034225,E,169.45,14.73,184.18,mobile_app,141
201,1,2024-12-17 16:35:13,2025-01-01 00:00:00,1295440753,E,169.45,14.73,184.18,web,14
202,1,2024-12-17 16:35:13,2025-01-01 00:00:00,2112290155,E,169.45,14.73,184.18,agent,14
203,1,2024-09-24 18:31:18,2025-01-01 00:00:00,1872615754,E,169.45,14.73,184.18,agent,98
204,1,2024-09-15 11:07:17,2025-01-01 00:00:00,1443996073,B,288.05,25.05,313.1,web,107
205,1,2024-11-05 22:42:38,2025-01-01 00:00:00,1461131893,B,288.05,25.05,313.1,web,56
206,1,2024-07-25 09:14:02,2025-01-01 00:00:00,3382888862,E,169.45,14.73,184.18,mobile_app,159
207,1,2024-12-24 04:57:03,2025-01-01 00:00:00,983852311,E,169.45,14.73,184.18,mobile_app,7
208,1,2024-11-02 20:02:57,2025-01-01 00:00:00,1160898328,E,169.45,14.73,184.18,web,59
209,1,2024-08-13 15:42:22,2025-01-01 00:00:00,1334201826,P,220.28,19.15,239.43,web,140
210,1,2024-07-11 15:02:24,2025-01-01 00:00:00,575927862,E,169.45,14.73,184.18,mobile_app,173
211,1,2024-06-27 07:54:34,2025-01-01 00:00:00,1406549946,E,169.45,14.73,184.18,mobile_app,187
212,1,2024-08-23 14:21:13,2025-01-01 00:00:00,2007165847,E,169.45,14.73,184.18,agent,130
213,1,2024-11-16 03:12:22,2025-01-01 00:00:00,251275275,P,220.28,19.15,239.43,web,45
214,1,2024-09-17 08:42:49,2025-01-01 00:00:00,36179495,P,220.28,19.15,239.43,mobile_app,105
215,1,2024-09-17 08:42:49,2025-01-01 00:00:00,7627630119,F,338.88,29.47,368.35,agent,105
216,1,2024-09-21 18:42:04,2025-01-01 00:00:00,8208011744,E,169.45,14.73,184.18,agent,101
217,1,2024-07-05 17:32:11,2025-01-01 00:00:00,1490612570,E,169.45,14.73,184.18,mobile_app,179
218,1,2024-05-22 17:54:32,2025-01-01 00:00:00,1548782695,P,220.28,19.15,239.43,web,223
219,1,2024-12-16 20:35:20,2025-01-01 00:00:00,606078559,F,338.88,29.47,368.35,web,15
220,1,2024-08-27 12:58:29,2025-01-01 00:00:00,4145089611,B,288.05,25.05,313.1,agent,126
221,1,2024-08-27 12:58:29,2025-01-01 00:00:00,108013102,P,220.28,19.15,239.43,mobile_app,126
222,1,2024-05-19 17:52:17,2025-01-01 00:00:00,522393587,P,220.28,19.15,239.43,agent,226
223,1,2024-05-19 17:52:17,2025-01-01 00:00:00,1443851999,E,169.45,14.73,184.18,agent,226
224,1,2024-09-24 22:41:52,2025-01-01 00:00:00,1819597850,E,169.45,14.73,184.18,agent,98
225,1,2024-08-30 15:36:54,2025-01-01 00:00:00,1872615754,E,169.45,14.73,184.18,web,123
226,1,2024-08-30 15:36:54,2025-01-01 00:00:00,312740328,F,338.88,29.47,368.35,web,123
227,1,2024-08-30 15:36:54,2025-01-01 00:00:00,1815104725,P,220.28,19.15,239.43,web,123
228,1,2024-11-21 16:03:16,2025-01-01 00:00:00,5653030128,B,288.05,25.05,313.1,agent,40
229,1,2024-12-22 23:43:35,2025-01-01 00:00:00,863391544,E,169.45,14.73,184.18,web,9
230,1,2024-11-29 14:22:55,2025-01-01 00:00:00,7818645187,E,169.45,14.73,184.18,mobile_app,32
231,1,2024-11-18 18:04:22,2025-01-01 00:00:00,1911402591,E,169.45,14.73,184.18,mobile_app,43
232,1,2024-06-15 15:23:01,2025-01-01 00:00:00,1381506753,P,220.28,19.15,239.43,web,199
233,1,2024-11-27 09:39:33,2025-01-01 00:00:00,294527407,E,169.45,14.73,184.18,agent,34
234,1,2024-11-19 20:19:33,2025-01-01 00:00:00,1669299894,P,220.28,19.15,239.43,agent,42
235,1,2024-08-02 21:58:05,2025-01-01 00:00:00,9334444173,P,220.28,19.15,239.43,agent,151
236,1,2024-06-04 00:16:54,2025-01-01 00:00:00,384375914,P,220.28,19.15,239.43,web,210
237,2,2024-06-05 08:42:08,2025-01-01 00:00:00,5031336848,E,150.21,13.06,163.27,web,209
238,2,2024-10-03 23:56:26,2025-01-01 00:00:00,1994285561,P,195.27,16.98,212.25,web,89
239,2,2024-12-02 23:41:31,2025-01-01 00:00:00,1724934626,B,255.36,22.2,277.56,web,29
240,2,2024-12-22 23:45:55,2025-01-01 00:00:00,1036278446,E,150.21,13.06,163.27,web,9
241,2,2024-09-05 09:42:54,2025-01-01 00:00:00,1750546505,E,150.21,13.06,163.27,web,117
242,2,2024-07-10 08:49:38,2025-01-01 00:00:00,1951990724,E,150.21,13.06,163.27,web,174
243,2,2024-07-10 08:49:38,2025-01-01 00:00:00,897246878,E,150.21,13.06,163.27,agent,174
244,2,2024-08-16 06:14:01,2025-01-01 00:00:00,2655823790,E,150.21,13.06,163.27,mobile_app,137
245,2,2024-08-16 06:14:01,2025-01-01 00:00:00,1506397208,E,150.21,13.06,163.27,agent,137
246,2,2024-08-16 06:14:01,2025-01-01 00:00:00,1666173130,E,150.21,13.06,163.27,web,137
247,2,2024-12-27 15:14:20,2025-01-01 00:00:00,2028199704,E,150.21,13.06,163.27,web,4
248,2,2024-09-10 19:15:55,2025-01-01 00:00:00,7967225906,E,150.21,13.06,163.27,agent,112
249,2,2024-07-26 02:32:37,2025-01-01 00:00:00,348771944,P,195.27,16.98,212.25,web,158
250,2,2024-12-13 05:17:48,2025-01-01 00:00:00,8531443295,E,150.21,13.06,163.27,web,18
251,2,2024-08-30 14:28:44,2025-01-01 00:00:00,1834775485,B,255.36,22.2,277.56,agent,123
252,2,2024-09-21 00:18:47,2025-01-01 00:00:00,1229817332,E,150.21,13.06,163.27,agent,101
253,2,2024-09-21 00:18:47,2025-01-01 00:00:00,470994107,E,150.21,13.06,163.27,web,101
254,2,2024-05-21 17:39:01,2025-01-01 00:00:00,7804929,E,150.21,13.06,163.27,agent,224
255,2,2024-08-06 00:41:29,2025-01-01 00:00:00,1193991839,E,150.21,13.06,163.27,web,147
256,2,2024-07-16 04:51:42,2025-01-01 00:00:00,763839126,E,150.21,13.06,163.27,web,168
